  R-R p0_e0:p0_e0-eth4  Δtx=2070670 B  Δrx=12164 B
  R-R p0_a4:p0_a4-eth0  Δtx=12164 B  Δrx=2070670 B
  R-R p0_e0:p0_e0-eth5  Δtx=2071262 B  Δrx=1029527 B
  R-R p0_a5:p0_a5-eth0  Δtx=1029527 B  Δrx=2071262 B
  R-R p0_e0:p0_e0-eth6  Δtx=11566 B  Δrx=1052965 B
  R-R p0_a6:p0_a6-eth0  Δtx=1052965 B  Δrx=11566 B
  R-R p0_e0:p0_e0-eth7  Δtx=11566 B  Δrx=2072620 B
  R-R p0_a7:p0_a7-eth0  Δtx=2072620 B  Δrx=11566 B
  R-R p0_e1:p0_e1-eth4  Δtx=12322 B  Δrx=1043845 B
  R-R p0_a4:p0_a4-eth1  Δtx=1043845 B  Δrx=12322 B
  R-R p0_e1:p0_e1-eth5  Δtx=1028381 B  Δrx=2070034 B
  R-R p0_a5:p0_a5-eth1  Δtx=2070034 B  Δrx=1028381 B
  R-R p0_e1:p0_e1-eth6  Δtx=1053657 B  Δrx=1038037 B
  R-R p0_a6:p0_a6-eth1  Δtx=1038037 B  Δrx=1053657 B
  R-R p0_e1:p0_e1-eth7  Δtx=2068566 B  Δrx=10024 B
  R-R p0_a7:p0_a7-eth1  Δtx=10024 B  Δrx=2068566 B
  R-R p0_e2:p0_e2-eth4  Δtx=1029287 B  Δrx=1029053 B
  R-R p0_a4:p0_a4-eth2  Δtx=1029053 B  Δrx=1029287 B
  R-R p0_e2:p0_e2-eth5  Δtx=10870 B  Δrx=20910 B
  R-R p0_a5:p0_a5-eth2  Δtx=20910 B  Δrx=10870 B
  R-R p0_e2:p0_e2-eth6  Δtx=2070564 B  Δrx=1039689 B
  R-R p0_a6:p0_a6-eth2  Δtx=1039689 B  Δrx=2070564 B
  R-R p0_e2:p0_e2-eth7  Δtx=1050453 B  Δrx=2068660 B
  R-R p0_a7:p0_a7-eth2  Δtx=2068660 B  Δrx=1050453 B
  R-R p0_e3:p0_e3-eth4  Δtx=380 B  Δrx=138 B
  R-R p0_a4:p0_a4-eth3  Δtx=138 B  Δrx=380 B
  R-R p0_e3:p0_e3-eth5  Δtx=10322 B  Δrx=23758 B
  R-R p0_a5:p0_a5-eth3  Δtx=23758 B  Δrx=10322 B
  R-R p0_e3:p0_e3-eth6  Δtx=2060812 B  Δrx=2072388 B
  R-R p0_a6:p0_a6-eth3  Δtx=2072388 B  Δrx=2060812 B
  R-R p0_e3:p0_e3-eth7  Δtx=2090944 B  Δrx=2068842 B
  R-R p0_a7:p0_a7-eth3  Δtx=2068842 B  Δrx=2090944 B
  R-R p1_e0:p1_e0-eth4  Δtx=12280 B  Δrx=2073286 B
  R-R p1_a4:p1_a4-eth0  Δtx=2073286 B  Δrx=12280 B
  R-R p1_e0:p1_e0-eth5  Δtx=1030079 B  Δrx=2083798 B
  R-R p1_a5:p1_a5-eth0  Δtx=2083798 B  Δrx=1030079 B
  R-R p1_e0:p1_e0-eth6  Δtx=3116067 B  Δrx=11278 B
  R-R p1_a6:p1_a6-eth0  Δtx=11278 B  Δrx=3116067 B
  R-R p1_e0:p1_e0-eth7  Δtx=12256 B  Δrx=170 B
  R-R p1_a7:p1_a7-eth0  Δtx=170 B  Δrx=12256 B
  R-R p1_e1:p1_e1-eth4  Δtx=12706 B  Δrx=21942 B
  R-R p1_a4:p1_a4-eth1  Δtx=21942 B  Δrx=12706 B
  R-R p1_e1:p1_e1-eth5  Δtx=2072100 B  Δrx=1028381 B
  R-R p1_a5:p1_a5-eth1  Δtx=1028381 B  Δrx=2072100 B
  R-R p1_e1:p1_e1-eth6  Δtx=2067584 B  Δrx=1043629 B
  R-R p1_a6:p1_a6-eth1  Δtx=1043629 B  Δrx=2067584 B
  R-R p1_e1:p1_e1-eth7  Δtx=10066 B  Δrx=2069070 B
  R-R p1_a7:p1_a7-eth1  Δtx=2069070 B  Δrx=10066 B
  R-R p1_e2:p1_e2-eth4  Δtx=1029293 B  Δrx=1049433 B
  R-R p1_a4:p1_a4-eth2  Δtx=1049433 B  Δrx=1029293 B
  R-R p1_e2:p1_e2-eth5  Δtx=20836 B  Δrx=212 B
  R-R p1_a5:p1_a5-eth2  Δtx=212 B  Δrx=20836 B
  R-R p1_e2:p1_e2-eth6  Δtx=2068296 B  Δrx=2071974 B
  R-R p1_a6:p1_a6-eth2  Δtx=2071974 B  Δrx=2068296 B
