  R-R p0_e0:p0_e0-eth4  Δtx=12553199 B  Δrx=37553603 B
  R-R p0_a4:p0_a4-eth0  Δtx=37553603 B  Δrx=12553199 B
  R-R p0_e0:p0_e0-eth5  Δtx=74 B  Δrx=87852 B
  R-R p0_a5:p0_a5-eth0  Δtx=87852 B  Δrx=74 B
  R-R p0_e0:p0_e0-eth6  Δtx=25018686 B  Δrx=21962 B
  R-R p0_a6:p0_a6-eth0  Δtx=21962 B  Δrx=25018686 B
  R-R p0_e0:p0_e0-eth7  Δtx=12594703 B  Δrx=12506559 B
  R-R p0_a7:p0_a7-eth0  Δtx=12506559 B  Δrx=12594703 B
  R-R p0_e1:p0_e1-eth4  Δtx=19190 B  Δrx=25011720 B
  R-R p0_a4:p0_a4-eth1  Δtx=25011720 B  Δrx=19190 B
  R-R p0_e1:p0_e1-eth5  Δtx=12505511 B  Δrx=25024616 B
  R-R p0_a5:p0_a5-eth1  Δtx=25024616 B  Δrx=12505511 B
  R-R p0_e1:p0_e1-eth6  Δtx=37552705 B  Δrx=43700 B
  R-R p0_a6:p0_a6-eth1  Δtx=43700 B  Δrx=37552705 B
  R-R p0_e1:p0_e1-eth7  Δtx=38614 B  Δrx=38890 B
  R-R p0_a7:p0_a7-eth1  Δtx=38890 B  Δrx=38614 B
  R-R p0_e2:p0_e2-eth4  Δtx=12524923 B  Δrx=12525717 B
  R-R p0_a4:p0_a4-eth2  Δtx=12525717 B  Δrx=12524923 B
  R-R p0_e2:p0_e2-eth5  Δtx=37314 B  Δrx=12523001 B
  R-R p0_a5:p0_a5-eth2  Δtx=12523001 B  Δrx=37314 B
  R-R p0_e2:p0_e2-eth6  Δtx=37552759 B  Δrx=25067722 B
  R-R p0_a6:p0_a6-eth2  Δtx=25067722 B  Δrx=37552759 B
  R-R p0_e2:p0_e2-eth7  Δtx=96 B  Δrx=42 B
  R-R p0_a7:p0_a7-eth2  Δtx=42 B  Δrx=96 B
  R-R p0_e3:p0_e3-eth4  Δtx=170 B  Δrx=12550129 B
  R-R p0_a4:p0_a4-eth3  Δtx=12550129 B  Δrx=170 B
  R-R p0_e3:p0_e3-eth5  Δtx=37553719 B  Δrx=25042654 B
  R-R p0_a5:p0_a5-eth3  Δtx=25042654 B  Δrx=37553719 B
  R-R p0_e3:p0_e3-eth6  Δtx=12550863 B  Δrx=22626 B
  R-R p0_a6:p0_a6-eth3  Δtx=22626 B  Δrx=12550863 B
  R-R p0_e3:p0_e3-eth7  Δtx=20564 B  Δrx=12506691 B
  R-R p0_a7:p0_a7-eth3  Δtx=12506691 B  Δrx=20564 B
  R-R p1_e0:p1_e0-eth4  Δtx=42 B  Δrx=12515217 B
  R-R p1_a4:p1_a4-eth0  Δtx=12515217 B  Δrx=42 B
  R-R p1_e0:p1_e0-eth5  Δtx=12609321 B  Δrx=125452 B
  R-R p1_a5:p1_a5-eth0  Δtx=125452 B  Δrx=12609321 B
  R-R p1_e0:p1_e0-eth6  Δtx=12543637 B  Δrx=25018674 B
  R-R p1_a6:p1_a6-eth0  Δtx=25018674 B  Δrx=12543637 B
  R-R p1_e0:p1_e0-eth7  Δtx=25027476 B  Δrx=12520723 B
  R-R p1_a7:p1_a7-eth0  Δtx=12520723 B  Δrx=25027476 B
  R-R p1_e1:p1_e1-eth4  Δtx=96 B  Δrx=42 B
  R-R p1_a4:p1_a4-eth1  Δtx=42 B  Δrx=96 B
  R-R p1_e1:p1_e1-eth5  Δtx=12504785 B  Δrx=12505511 B
  R-R p1_a5:p1_a5-eth1  Δtx=12505511 B  Δrx=12504785 B
  R-R p1_e1:p1_e1-eth6  Δtx=37582431 B  Δrx=37567839 B
  R-R p1_a6:p1_a6-eth1  Δtx=37567839 B  Δrx=37582431 B
  R-R p1_e1:p1_e1-eth7  Δtx=39006 B  Δrx=50398 B
  R-R p1_a7:p1_a7-eth1  Δtx=50398 B  Δrx=39006 B
  R-R p1_e2:p1_e2-eth4  Δtx=12526357 B  Δrx=12525751 B
  R-R p1_a4:p1_a4-eth2  Δtx=12525751 B  Δrx=12526357 B
  R-R p1_e2:p1_e2-eth5  Δtx=25028688 B  Δrx=16612 B
  R-R p1_a5:p1_a5-eth2  Δtx=16612 B  Δrx=25028688 B
  R-R p1_e2:p1_e2-eth6  Δtx=54670 B  Δrx=37532915 B
  R-R p1_a6:p1_a6-eth2  Δtx=37532915 B  Δrx=54670 B
  R-R p1_e2:p1_e2-eth7  Δtx=12525287 B  Δrx=55222 B
  R-R p1_a7:p1_a7-eth2  Δtx=55222 B  Δrx=12525287 B
  R-R p1_e3:p1_e3-eth4  Δtx=44896 B  Δrx=20416 B
  R-R p1_a4:p1_a4-eth3  Δtx=20416 B  Δrx=44896 B
  R-R p1_e3:p1_e3-eth5  Δtx=25039892 B  Δrx=37553047 B
  R-R p1_a5:p1_a5-eth3  Δtx=37553047 B  Δrx=25039892 B
  R-R p1_e3:p1_e3-eth6  Δtx=22478 B  Δrx=12509651 B
  R-R p1_a6:p1_a6-eth3  Δtx=12509651 B  Δrx=22478 B
  R-R p1_e3:p1_e3-eth7  Δtx=25011034 B  Δrx=42274 B
  R-R p1_a7:p1_a7-eth3  Δtx=42274 B  Δrx=25011034 B
  R-R p2_e0:p2_e0-eth4  Δtx=25029954 B  Δrx=51472 B
  R-R p2_a4:p2_a4-eth0  Δtx=51472 B  Δrx=25029954 B
  R-R p2_e0:p2_e0-eth5  Δtx=12643769 B  Δrx=12552959 B
  R-R p2_a5:p2_a5-eth0  Δtx=12552959 B  Δrx=12643769 B
  R-R p2_e0:p2_e0-eth6  Δtx=12505899 B  Δrx=12521729 B
  R-R p2_a6:p2_a6-eth0  Δtx=12521729 B  Δrx=12505899 B
  R-R p2_e0:p2_e0-eth7  Δtx=138 B  Δrx=25051760 B
  R-R p2_a7:p2_a7-eth0  Δtx=25051760 B  Δrx=138 B
  R-R p2_e1:p2_e1-eth4  Δtx=12515753 B  Δrx=53860 B
  R-R p2_a4:p2_a4-eth1  Δtx=53860 B  Δrx=12515753 B
  R-R p2_e1:p2_e1-eth5  Δtx=12525159 B  Δrx=12537211 B
  R-R p2_a5:p2_a5-eth1  Δtx=12537211 B  Δrx=12525159 B
  R-R p2_e1:p2_e1-eth6  Δtx=25070368 B  Δrx=37538963 B
  R-R p2_a6:p2_a6-eth1  Δtx=37538963 B  Δrx=25070368 B
  R-R p2_e1:p2_e1-eth7  Δtx=50472 B  Δrx=29668 B
  R-R p2_a7:p2_a7-eth1  Δtx=29668 B  Δrx=50472 B
  R-R p2_e2:p2_e2-eth4  Δtx=12524369 B  Δrx=12526897 B
  R-R p2_a4:p2_a4-eth2  Δtx=12526897 B  Δrx=12524369 B
  R-R p2_e2:p2_e2-eth5  Δtx=12522957 B  Δrx=25010002 B
  R-R p2_a5:p2_a5-eth2  Δtx=25010002 B  Δrx=12522957 B
  R-R p2_e2:p2_e2-eth6  Δtx=12524015 B  Δrx=19232 B
  R-R p2_a6:p2_a6-eth2  Δtx=19232 B  Δrx=12524015 B
  R-R p2_e2:p2_e2-eth7  Δtx=12561823 B  Δrx=12581943 B
  R-R p2_a7:p2_a7-eth2  Δtx=12581943 B  Δrx=12561823 B
  R-R p2_e3:p2_e3-eth4  Δtx=25031270 B  Δrx=192 B
  R-R p2_a4:p2_a4-eth3  Δtx=192 B  Δrx=25031270 B
  R-R p2_e3:p2_e3-eth5  Δtx=12526037 B  Δrx=25051408 B
  R-R p2_a5:p2_a5-eth3  Δtx=25051408 B  Δrx=12526037 B
  R-R p2_e3:p2_e3-eth6  Δtx=12519341 B  Δrx=20750 B
  R-R p2_a6:p2_a6-eth3  Δtx=20750 B  Δrx=12519341 B
  R-R p2_e3:p2_e3-eth7  Δtx=42348 B  Δrx=25043394 B
  R-R p2_a7:p2_a7-eth3  Δtx=25043394 B  Δrx=42348 B
  R-R p3_e0:p3_e0-eth4  Δtx=51546 B  Δrx=25065800 B
  R-R p3_a4:p3_a4-eth0  Δtx=25065800 B  Δrx=51546 B
  R-R p3_e0:p3_e0-eth5  Δtx=25067188 B  Δrx=12518487 B
  R-R p3_a5:p3_a5-eth0  Δtx=12518487 B  Δrx=25067188 B
  R-R p3_e0:p3_e0-eth6  Δtx=12523215 B  Δrx=12538919 B
  R-R p3_a6:p3_a6-eth0  Δtx=12538919 B  Δrx=12523215 B
  R-R p3_e0:p3_e0-eth7  Δtx=12544775 B  Δrx=59374 B
  R-R p3_a7:p3_a7-eth0  Δtx=59374 B  Δrx=12544775 B
  R-R p3_e1:p3_e1-eth4  Δtx=12558491 B  Δrx=12565281 B
  R-R p3_a4:p3_a4-eth1  Δtx=12565281 B  Δrx=12558491 B
  R-R p3_e1:p3_e1-eth5  Δtx=32564 B  Δrx=12525255 B
  R-R p3_a5:p3_a5-eth1  Δtx=12525255 B  Δrx=32564 B
  R-R p3_e1:p3_e1-eth6  Δtx=25025740 B  Δrx=25078960 B
  R-R p3_a6:p3_a6-eth1  Δtx=25078960 B  Δrx=25025740 B
  R-R p3_e1:p3_e1-eth7  Δtx=12547935 B  Δrx=212 B
  R-R p3_a7:p3_a7-eth1  Δtx=212 B  Δrx=12547935 B
  R-R p3_e2:p3_e2-eth4  Δtx=19532 B  Δrx=12537533 B
  R-R p3_a4:p3_a4-eth2  Δtx=12537533 B  Δrx=19532 B
  R-R p3_e2:p3_e2-eth5  Δtx=25011604 B  Δrx=12544943 B
  R-R p3_a5:p3_a5-eth2  Δtx=12544943 B  Δrx=25011604 B
  R-R p3_e2:p3_e2-eth6  Δtx=12539371 B  Δrx=12524027 B
  R-R p3_a6:p3_a6-eth2  Δtx=12524027 B  Δrx=12539371 B
  R-R p3_e2:p3_e2-eth7  Δtx=12562165 B  Δrx=12525515 B
  R-R p3_a7:p3_a7-eth2  Δtx=12525515 B  Δrx=12562165 B
  R-R p3_e3:p3_e3-eth4  Δtx=12506093 B  Δrx=25039928 B
  R-R p3_a4:p3_a4-eth3  Δtx=25039928 B  Δrx=12506093 B
  R-R p3_e3:p3_e3-eth5  Δtx=25059706 B  Δrx=12526379 B
  R-R p3_a5:p3_a5-eth3  Δtx=12526379 B  Δrx=25059706 B
  R-R p3_e3:p3_e3-eth6  Δtx=12525785 B  Δrx=12538447 B
  R-R p3_a6:p3_a6-eth3  Δtx=12538447 B  Δrx=12525785 B
  R-R p3_e3:p3_e3-eth7  Δtx=32646 B  Δrx=20218 B
  R-R p3_a7:p3_a7-eth3  Δtx=20218 B  Δrx=32646 B
  R-R p4_e0:p4_e0-eth4  Δtx=25064948 B  Δrx=36334 B
  R-R p4_a4:p4_a4-eth0  Δtx=36334 B  Δrx=25064948 B
  R-R p4_e0:p4_e0-eth5  Δtx=138 B  Δrx=25059706 B
  R-R p4_a5:p4_a5-eth0  Δtx=25059706 B  Δrx=138 B
  R-R p4_e0:p4_e0-eth6  Δtx=12553489 B  Δrx=12557279 B
  R-R p4_a6:p4_a6-eth0  Δtx=12557279 B  Δrx=12553489 B
  R-R p4_e0:p4_e0-eth7  Δtx=12584783 B  Δrx=12553883 B
  R-R p4_a7:p4_a7-eth0  Δtx=12553883 B  Δrx=12584783 B
  R-R p4_e1:p4_e1-eth4  Δtx=25062628 B  Δrx=12524679 B
  R-R p4_a4:p4_a4-eth1  Δtx=12524679 B  Δrx=25062628 B
  R-R p4_e1:p4_e1-eth5  Δtx=12506735 B  Δrx=42 B
  R-R p4_a5:p4_a5-eth1  Δtx=42 B  Δrx=12506735 B
  R-R p4_e1:p4_e1-eth6  Δtx=51682 B  Δrx=25043064 B
  R-R p4_a6:p4_a6-eth1  Δtx=25043064 B  Δrx=51682 B
  R-R p4_e1:p4_e1-eth7  Δtx=12503429 B  Δrx=12555539 B
  R-R p4_a7:p4_a7-eth1  Δtx=12555539 B  Δrx=12503429 B
  R-R p4_e2:p4_e2-eth4  Δtx=25042492 B  Δrx=39316 B
  R-R p4_a4:p4_a4-eth2  Δtx=39316 B  Δrx=25042492 B
  R-R p4_e2:p4_e2-eth5  Δtx=12544029 B  Δrx=25050374 B
  R-R p4_a5:p4_a5-eth2  Δtx=25050374 B  Δrx=12544029 B
  R-R p4_e2:p4_e2-eth6  Δtx=12505689 B  Δrx=12520277 B
  R-R p4_a6:p4_a6-eth2  Δtx=12520277 B  Δrx=12505689 B
  R-R p4_e2:p4_e2-eth7  Δtx=18988 B  Δrx=12505563 B
  R-R p4_a7:p4_a7-eth2  Δtx=12505563 B  Δrx=18988 B
  R-R p4_e3:p4_e3-eth4  Δtx=29042 B  Δrx=12523723 B
  R-R p4_a4:p4_a4-eth3  Δtx=12523723 B  Δrx=29042 B
  R-R p4_e3:p4_e3-eth5  Δtx=25050390 B  Δrx=25042052 B
  R-R p4_a5:p4_a5-eth3  Δtx=25042052 B  Δrx=25050390 B
  R-R p4_e3:p4_e3-eth6  Δtx=12524399 B  Δrx=12505173 B
  R-R p4_a6:p4_a6-eth3  Δtx=12505173 B  Δrx=12524399 B
  R-R p4_e3:p4_e3-eth7  Δtx=12526837 B  Δrx=56912 B
  R-R p4_a7:p4_a7-eth3  Δtx=56912 B  Δrx=12526837 B
  R-R p5_e0:p5_e0-eth4  Δtx=36366 B  Δrx=25077952 B
  R-R p5_a4:p5_a4-eth0  Δtx=25077952 B  Δrx=36366 B
  R-R p5_e0:p5_e0-eth5  Δtx=12528261 B  Δrx=28670 B
  R-R p5_a5:p5_a5-eth0  Δtx=28670 B  Δrx=12528261 B
  R-R p5_e0:p5_e0-eth6  Δtx=25061888 B  Δrx=12541135 B
  R-R p5_a6:p5_a6-eth0  Δtx=12541135 B  Δrx=25061888 B
  R-R p5_e0:p5_e0-eth7  Δtx=12547763 B  Δrx=12525505 B
  R-R p5_a7:p5_a7-eth0  Δtx=12525505 B  Δrx=12547763 B
  R-R p5_e1:p5_e1-eth4  Δtx=20122 B  Δrx=25044974 B
  R-R p5_a4:p5_a4-eth1  Δtx=25044974 B  Δrx=20122 B
  R-R p5_e1:p5_e1-eth5  Δtx=12506905 B  Δrx=12506735 B
  R-R p5_a5:p5_a5-eth1  Δtx=12506735 B  Δrx=12506905 B
  R-R p5_e1:p5_e1-eth6  Δtx=12523429 B  Δrx=45070 B
  R-R p5_a6:p5_a6-eth1  Δtx=45070 B  Δrx=12523429 B
  R-R p5_e1:p5_e1-eth7  Δtx=25065254 B  Δrx=12523063 B
  R-R p5_a7:p5_a7-eth1  Δtx=12523063 B  Δrx=25065254 B
  R-R p5_e2:p5_e2-eth4  Δtx=12543295 B  Δrx=25047024 B
  R-R p5_a4:p5_a4-eth2  Δtx=25047024 B  Δrx=12543295 B
  R-R p5_e2:p5_e2-eth5  Δtx=12541707 B  Δrx=12505643 B
  R-R p5_a5:p5_a5-eth2  Δtx=12505643 B  Δrx=12541707 B
  R-R p5_e2:p5_e2-eth6  Δtx=12506945 B  Δrx=12523661 B
  R-R p5_a6:p5_a6-eth2  Δtx=12523661 B  Δrx=12506945 B
  R-R p5_e2:p5_e2-eth7  Δtx=12506253 B  Δrx=20308 B
  R-R p5_a7:p5_a7-eth2  Δtx=20308 B  Δrx=12506253 B
  R-R p5_e3:p5_e3-eth4  Δtx=17780 B  Δrx=23522 B
  R-R p5_a4:p5_a4-eth3  Δtx=23522 B  Δrx=17780 B
  R-R p5_e3:p5_e3-eth5  Δtx=37545297 B  Δrx=25048530 B
  R-R p5_a5:p5_a5-eth3  Δtx=25048530 B  Δrx=37545297 B
  R-R p5_e3:p5_e3-eth6  Δtx=12504781 B  Δrx=12527381 B
  R-R p5_a6:p5_a6-eth3  Δtx=12527381 B  Δrx=12504781 B
  R-R p5_e3:p5_e3-eth7  Δtx=56838 B  Δrx=12528223 B
  R-R p5_a7:p5_a7-eth3  Δtx=12528223 B  Δrx=56838 B
  R-R p6_e0:p6_e0-eth4  Δtx=25070700 B  Δrx=18546 B
  R-R p6_a4:p6_a4-eth0  Δtx=18546 B  Δrx=25070700 B
  R-R p6_e0:p6_e0-eth5  Δtx=12535907 B  Δrx=12504295 B
  R-R p6_a5:p6_a5-eth0  Δtx=12504295 B  Δrx=12535907 B
  R-R p6_e0:p6_e0-eth6  Δtx=20708 B  Δrx=25027770 B
  R-R p6_a6:p6_a6-eth0  Δtx=25027770 B  Δrx=20708 B
  R-R p6_e0:p6_e0-eth7  Δtx=12505023 B  Δrx=12579087 B
  R-R p6_a7:p6_a7-eth0  Δtx=12579087 B  Δrx=12505023 B
  R-R p6_e1:p6_e1-eth4  Δtx=32032 B  Δrx=50820 B
  R-R p6_a4:p6_a4-eth1  Δtx=50820 B  Δrx=32032 B
  R-R p6_e1:p6_e1-eth5  Δtx=12505037 B  Δrx=12506959 B
  R-R p6_a5:p6_a5-eth1  Δtx=12506959 B  Δrx=12505037 B
  R-R p6_e1:p6_e1-eth6  Δtx=12554089 B  Δrx=12525361 B
  R-R p6_a6:p6_a6-eth1  Δtx=12525361 B  Δrx=12554089 B
  R-R p6_e1:p6_e1-eth7  Δtx=25048056 B  Δrx=25047930 B
  R-R p6_a7:p6_a7-eth1  Δtx=25047930 B  Δrx=25048056 B
  R-R p6_e2:p6_e2-eth4  Δtx=12561169 B  Δrx=12538919 B
  R-R p6_a4:p6_a4-eth2  Δtx=12538919 B  Δrx=12561169 B
  R-R p6_e2:p6_e2-eth5  Δtx=25009870 B  Δrx=12522097 B
  R-R p6_a5:p6_a5-eth2  Δtx=12522097 B  Δrx=25009870 B
  R-R p6_e2:p6_e2-eth6  Δtx=18270 B  Δrx=12506999 B
  R-R p6_a6:p6_a6-eth2  Δtx=12506999 B  Δrx=18270 B
  R-R p6_e2:p6_e2-eth7  Δtx=12526703 B  Δrx=12544255 B
  R-R p6_a7:p6_a7-eth2  Δtx=12544255 B  Δrx=12526703 B
  R-R p6_e3:p6_e3-eth4  Δtx=25036500 B  Δrx=47644 B
  R-R p6_a4:p6_a4-eth3  Δtx=47644 B  Δrx=25036500 B
  R-R p6_e3:p6_e3-eth5  Δtx=12525223 B  Δrx=37543065 B
